                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1377,                  2.099,                0.22835,                0.92622,                 1.3956,                0.92679,                0.90539,                0.90734,                0.66776,                0.84493,                    0.5,                0.53466,                0.35195,                 0.8985,                 4.0333,                 0.3421,                0.59516,                 1.0577,                      0,                      0,                      0
                      1,                 1.7584,                 5.1276,                0.33245,                 2.3097,                 1.6579,                0.87977,                0.85714,                0.90188,                 0.6645,                0.84233,                    0.5,                0.53477,                 0.3356,                0.89516,                 4.0267,                0.35139,                0.58891,                   1.06,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      2,                0.96463,                 3.4064,                0.36424,                0.71038,                 1.1198,                0.84858,                0.92857,                0.89712,                0.67071,                0.84257,                    0.5,                0.53504,                 0.3274,                0.89277,                 4.0413,                0.35622,                 0.6114,                 1.0593,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      3,                0.91905,                 1.7998,                0.27882,                0.66384,                 1.0861,                0.80801,                0.90294,                0.88433,                0.68735,                0.84439,                    0.5,                0.59594,                0.32264,                 0.9064,                  4.041,                0.36173,                0.61301,                 1.0586,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      4,                 1.1662,                   2.42,                0.36487,                0.89136,                 1.2664,                0.85613,                0.85054,                0.87802,                0.68831,                 0.7871,                0.57143,                0.57667,                0.29501,                0.93875,                 4.1251,                 0.3827,                0.64627,                 1.0853,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      5,                 1.0286,                 1.4821,                0.25606,                0.56299,                 1.2831,                0.76067,                0.90897,                0.89975,                0.66393,                 0.7767,                0.57143,                0.57076,                0.27795,                0.99064,                 4.2722,                0.39329,                0.70821,                 1.1428,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                 1.3791,                 4.2282,                0.42561,                0.98958,                 1.3341,                0.68225,                0.85714,                0.87356,                0.65726,                0.88788,                0.56625,                0.60591,                0.25881,                  1.006,                 4.3455,                0.39787,                0.77768,                 1.1522,             0.00011287,             0.00011287,             0.00011287
                      7,                 1.5953,                 2.3692,                0.36022,                 1.3675,                 1.3122,                0.70369,                0.84864,                0.85553,                0.61718,                0.63185,                    0.5,                0.49814,                0.24198,                 1.0439,                 4.4184,                0.40096,                0.85101,                 1.1703,              0.0001303,              0.0001303,              0.0001303
                      8,                 1.3242,                 1.9711,                0.33834,                  1.089,                  1.307,                0.88904,                0.71429,                0.85806,                0.58917,                0.55363,                0.42857,                0.38508,                0.22231,                  1.092,                 4.4851,                0.39594,                0.91803,                 1.2043,             0.00014733,             0.00014733,             0.00014733
                      9,                0.77859,                 2.4482,                0.31966,                0.66573,                 1.0709,                0.90666,                0.69516,                0.84975,                0.56645,                0.59281,                0.42857,                0.37701,                0.21121,                 1.1143,                  4.553,                0.38049,                 1.0025,                 1.2225,             0.00016396,             0.00016396,             0.00016396
